Num episodes,Cumulative rewards
340,"[-583.2412718248519, -408.9624246132904, -106.72341889481987, -475.8844247509903, -781.1798998503742, -185.48396871383085, -169.5155081240181, -471.10636199355645, -81.41714387046325, -515.068871526162]"
350,"[-143.37980983814327, -115.10677532782148, -516.9889830818122, -164.04452561390247, -591.9725392974965, -526.84766617263, -121.37785243369635, -119.45477189875072, -112.26770658356878, -703.041200414205]"
360,"[-542.937450046621, -133.85765333645364, -819.3598378808595, -507.42394807714555, -641.0331865984303, -108.84543985032508, -801.7297009622287, -117.76513507613154, -385.45430351996697, -533.9611837176041]"
370,"[-750.5880792910463, -135.45724773865055, -169.49450916244842, -125.11313817268802, -131.91132065003396, -634.163890469963, -786.0254962801256, -107.30675060359945, -122.70584183603125, -153.76493385902415]"
380,"[-139.631711747989, -105.61309815734072, -51.220928329196965, -502.1900331943357, -159.5043070141968, -106.55197008843069, -584.7136238460915, -115.94983083639968, -361.2166411977893, -514.0998696054226]"
390,"[-113.01521308728071, -588.4287928760308, -223.34844647363474, -123.55274588983958, -334.52841212157335, -139.13542298548595, -138.5892412771882, -555.4262911666439, -545.1853078966628, -156.2668279973513]"
400,"[-97.54308535246025, -106.54385612963857, -170.55760592314815, -72.38946668416177, -131.77899620133132, -121.6617565369302, -515.4691276816909, -97.4795451465162, -162.20905199693618, -386.29306019794365]"
410,"[-365.5605170300072, -667.3097268724637, -96.3470982978351, -502.72320155377713, -53.5455459670597, -105.63056804041983, -140.71669217243965, -96.8405914808123, -452.30915855345756, -148.85777985169005]"
420,"[-233.73650865453598, -452.41361395027127, -125.0655287981892, -189.56740840238177, -658.0851156207923, -157.7685969494485, -174.0214643841624, -122.55855098395938, -201.14199142038512, -468.27952186708524]"
430,"[-753.0204516427161, -130.51816020367067, -648.5230793672722, -144.8410756812733, -597.9838176194678, -194.1611860854172, -124.92944189939817, -599.2339916591658, -449.1639240654786, -110.42010534800843]"
440,"[-132.9128119115324, -341.26705654816857, -600.9172711958013, -140.40980551040184, -551.9482281758593, -134.21513243147484, -131.15448908272438, -48.27435056101983, -346.5873301107474, -333.2848520606044]"
450,"[-165.24257285118898, -186.08587127565232, -104.61655671510897, -176.7099448845073, -785.1776433110693, -113.84684325996346, -538.572249347252, -114.05060444245481, -135.30140797903297, -119.44248464815243]"
460,"[-175.209139329228, -188.17546955547064, -180.53881571144746, -536.0312555137084, -553.2700807894598, -86.30481061248254, -120.01747673675041, -592.8953388295369, -275.7811833530375, -123.40486917790398]"
470,"[-764.9924016574923, -456.59405859077526, -105.57083566283521, -134.2657454440307, -110.65755422981178, -603.8870821698455, -457.25576914777895, -893.8821489684304, -415.02400734916284, -180.6086844349911]"
480,"[-124.69677728188194, -22.451163122664894, -194.71991825700206, -498.03329849627545, -129.1426334460534, -638.9023830300621, -123.15476329012155, -490.3921449649195, -466.9552311715245, -139.52879699636742]"
490,"[-316.504774538487, -114.16956031139881, -129.59152434657645, -127.29121774975138, -742.7283452281173, -579.033200695151, -112.57257559770385, -134.64205759392652, -404.04600274460614, -118.58120128104159]"
500,"[-128.52988731840455, -101.26550963898342, -35.999734370895055, -529.5714585425409, -555.4913011011703, -122.89468178246997, -687.7798231496827, -427.69035964246143, -389.355218750563, -34.90505535902497]"
510,"[-48.63987400127563, -586.970462850446, -511.45556683547426, -21.357994032218897, -529.1683870707914, -254.76327965884536, -126.37805675281291, -864.4761752421157, -109.30983379295475, -111.61024620407613]"
520,"[-614.2372428253035, -141.7083559183098, -465.5297735318506, -548.6317860210736, -99.59127364507563, -113.09779115515491, -137.5761535591579, -537.3815053225339, -354.0300932074416, -87.76583722712681]"
530,"[-122.52753694891895, -413.05456725405526, -500.4815927211661, -324.5169939569794, -652.7127391605673, -120.19087662582973, -416.1195228103902, -147.87624683636227, -12.437277075695334, -664.5247501723891]"
540,"[-198.11354952099106, -113.89006680001249, -110.52144652037907, -93.4583866186241, -439.1007842043431, -118.63416270434539, -111.16928508846138, -132.5109308752671, -150.4654213381502, -153.01428639511866]"
550,"[-597.7036125084428, -402.8957761641367, -431.0343003759361, -577.864311338847, -87.72576766866108, -470.356436973952, -154.92719340021458, -366.9942008699499, -684.7522160441813, -229.18999105321146]"
560,"[-102.76834822821394, -450.2528168998476, -494.56751817744987, -533.8043992089522, -155.44917289014722, -135.04253651345343, -553.5637467263039, -571.9257377377385, -149.54309096653014, -228.57521301257]"
570,"[-115.15870178112286, -102.17713917336309, -454.6145880043209, -103.76949955907605, -111.95221496622588, -209.2651549481396, -472.6487554392637, -529.4341970634623, -539.7413500901193, -536.2249053487375]"
580,"[-177.99763293661124, -107.74913287524137, 0.6991287008624454, -445.1701013469606, -632.3236419586234, -106.82611885201771, -593.0200263504609, -686.8802360951064, -131.08259371444504, -103.8380048270196]"
590,"[-616.4629975754834, -416.99633104291274, -470.8428286957752, -144.64102347402485, -302.7697512815205, -459.51241732011096, -17.393809977619554, -148.2861049093945, -122.39465751773605, -112.74644982387296]"
600,"[-173.25005245941531, -100.99582642989864, -102.96266720789248, -406.3976037405685, -95.92306448049817, -132.69031297415606, -100.71620795692871, -113.63768333638234, -183.4382023654473, -623.5699090646451]"
610,"[-19.735521528793015, -134.85576103061072, -793.5224882081519, -136.53925057216935, -586.1091728870404, -148.01490575628426, -157.78067933632673, -572.2451524533401, -529.6951091109772, -141.86022532323733]"
620,"[-177.30092241089795, -163.39866434993016, -578.3283046209204, -624.7015229358775, -158.13997553729726, -103.04013039005058, -127.10692503014211, -129.19673312241346, -440.0599709755445, -168.06170790849887]"
630,"[-147.42771148956106, -699.6387419806349, -378.7853418328574, -116.57879970332236, -848.2035958256483, -124.20398020082547, -601.2879219508851, -327.75355338518955, -85.92586855710387, -602.9017994984384]"
640,"[-148.14103726877534, -524.7708979653173, -118.3880561388831, -80.75961428404273, -98.38979607856524, -140.52766238153157, -143.08622836089668, -550.8902218946006, -635.2456025997978, -459.36359584913936]"
650,"[-498.18407034735327, -121.68181457623689, -321.98143488993696, -524.3856330775311, -517.3955981878254, -111.62360231431836, -180.29518473998183, -370.3826462534286, -120.24026176699068, -532.0908718502781]"
660,"[-439.7616406923655, -546.3151566784879, -381.5599004445395, -21.258250192540913, -664.5797415103284, -106.12048856803453, -64.01958668699126, -120.49517112141967, -513.6675047913575, -124.91489317349522]"
670,"[1.2341657579020335, -71.94515597486694, -571.3797659214562, -124.15247866152927, -177.11057882303874, -411.8280205225349, -42.45710291770471, -107.05503614334708, -628.4253797717962, -156.01793768095212]"
680,"[-112.31408077027508, -92.13467221665292, -238.30190190727495, -507.30217012392353, -361.7424415035371, -94.83925284903955, -400.46226063206325, -112.05186680722585, -503.80868593148443, -141.30936716094857]"
690,"[-156.25251254391995, -470.8374515384488, -108.2020057332357, -682.2068035390084, -568.4638740369608, -228.55954876817975, -300.3327234922395, -582.0325075727612, -185.45514284986564, -562.7577580520634]"
700,"[10.411852644071317, -184.86876113744705, -207.28391100563806, -286.55624433688774, -107.63943829662485, -151.20849485242286, -482.44319977208215, -415.7529960134807, -114.00513121822857, -396.9493113219556]"
710,"[-138.65824811061205, -98.06777241075503, -436.3051786198896, -119.72707921435621, -154.21688514763332, -530.9057609572828, -759.8456287540978, -464.51507487012236, -3.9611985756232, -509.2093025230506]"
720,"[-125.32174583720257, -452.3535512000782, -126.44195017599682, -476.80636367345613, -329.18352718429134, -147.18875387301526, -143.48997232806818, -121.46544684753255, -21.725681325841514, -500.5387612058986]"
730,"[-137.08081398485268, -141.6848965117338, 5.1599772492102005, -322.93629097693554, -157.8162264650434, -126.47371067320137, -438.09647218299995, -98.66387057745061, -165.12683659915763, -90.44530581472601]"
740,"[-96.5664183934864, -95.4478889294859, -111.55857082764092, -130.26992514860237, -550.2902738497703, -327.84900873208943, -487.97379335747377, -23.338678842173806, -120.11926782177835, -102.99626501643772]"
750,"[-491.6764025445434, -416.66605866710984, -164.89541300303154, -284.8381158929714, -75.51925035341218, -122.84168750490538, -532.0850412859629, -147.59676902216864, -698.2550246331723, -78.01847387582268]"
760,"[-524.5332389268156, -145.0116320812148, -153.86322080532625, -95.12609564378238, -690.6293447097659, -122.12963066385558, -242.53398333642753, -122.20572269272733, -671.5946246454022, -79.60519498443227]"
770,"[-628.261278140648, -69.01023696611011, -435.2896628306373, -112.36328892184868, -188.38510695811152, -527.5477375114477, -18.35052869287233, -115.33951292733789, -85.47721410419977, -109.57349473437708]"
780,"[-573.2920404835419, -118.91440750815543, -588.1527871223946, -116.79017122228105, -99.61814302857843, -123.24790190240256, -137.48352032389246, -292.5131207729883, -117.92855987451232, -140.94316236114003]"
790,"[-157.0537332278389, -111.15151578190353, -418.2079482459171, -63.09000060039487, -30.404024995464944, -542.400782236708, -158.74019677048207, -239.98322820039405, 24.08573415838825, -130.38550711947642]"
800,"[-133.02685239137853, -93.2689525514479, -319.07716913329074, -124.81480071527606, -115.25027978776217, -110.2903886135497, -618.3269137931164, -153.37957558291325, -122.42759758059304, -210.9250721144264]"
810,"[-122.23382030969898, -119.00552853425076, -104.60623939534372, -411.8392642808545, -596.7002031335719, -390.0387781237106, -501.17754865279727, -140.6843531835656, -105.78672320781196, -118.94299340415586]"
820,"[-110.23629351085357, -46.6955038871466, -467.1956576600009, -122.91059416701003, -126.06818571863697, -536.5275253909955, -225.87749239259617, -25.265910975196107, -85.73167652741873, -400.65846152075557]"
830,"[-590.5349523126197, -449.8699615985592, -86.17976871328945, -102.82759179221692, -506.9962030205295, -129.6829282155193, -532.7379860181701, -120.46976476286991, -116.8508253194133, -537.4791392525033]"
840,"[-113.61778610561784, -448.310505559362, -131.21123785579394, -128.5955309927271, -128.3771417851936, -1053.781001931905, -118.64027577195247, -232.39011524898726, -140.2167078354126, -131.3640895778704]"
850,"[-185.76738288217427, -139.3211150901532, -115.8949441140326, -646.9738982208006, -143.14342571465465, -122.81955172625635, -171.1819108100879, -105.4300062579423, -125.24277146590775, 0.22442496132738654]"
860,"[-444.77013184698774, -330.2763872804878, -128.44965588584552, -626.7632155357282, -483.975956381836, -145.56428840184992, -418.7214577979736, -526.590409594624, -545.1139681225493, -141.39560253117486]"
870,"[-55.55207986035941, -99.30104350685781, -191.21882821334674, -158.45971095458614, -38.891270971009305, -83.85667693293526, -103.35938357144973, 34.93924446421593, -113.97060318644205, -46.18229017267104]"
880,"[-138.1615054161739, -113.72608139396225, -582.5640717605409, -133.74614551255522, -400.1839434109307, -116.22466153106687, -191.63707022109935, -201.8399306051217, -141.640426651934, -402.3216075290873]"
890,"[-130.85411019542417, -129.77481294595566, -132.76719642058333, -121.47735096011274, -195.1872452184038, -122.35580523312638, -110.20637919326941, -306.8382213114263, -548.7272377079614, -534.3098310170146]"
900,"[-116.96461790930192, -141.4301326363826, -15.964133680698808, -162.9216720653999, -567.5013764758011, -141.49639586345134, -158.87729059383113, -615.660867402698, -464.38815173399695, -115.49056921879114]"
910,"[-502.8751783669492, -151.56614978135516, -474.9753813912747, -96.43466157662935, -102.79533419662641, -146.56337825041464, -306.4039196121482, -181.62213875711353, -107.71317775779849, -116.87192994884478]"
920,"[-613.4231805810521, -338.63154204316834, -126.85160858845595, -119.99244492084136, -171.76338873862537, -150.68290093607325, -150.52431287257178, -123.59353780470224, -123.0285300614513, -19.62061634072107]"
930,"[-118.70939516285185, -525.4933538742647, -149.9626323382888, -54.69009007877618, -120.75671477117388, -590.6138718214617, -140.813772759556, -175.60178083544758, -102.41198198621974, -104.17379392600823]"
940,"[-43.28782940117963, -5.040532896319675, -154.00264826939616, -112.73943679960001, -346.8176228806468, -246.10802563143125, -724.1984894937318, -142.21405427655932, -83.54028793229271, -143.79908723634298]"
950,"[-129.33876161857893, -499.1582797801623, -341.0327645439239, -702.6421805981013, -585.9839459697743, -124.03179752715937, -145.8157380934631, -232.27415474897748, -192.73173460602894, -106.12463567879746]"
960,"[-124.8873749850529, -126.7298512803792, -43.95646440315491, -214.90931552742978, -421.13109363705746, -144.2410753793907, -578.5741666020394, -113.82203713130062, -129.3745070141768, -119.3267650926434]"
970,"[-87.61388845956893, -180.37119709695844, -67.59984986440736, -17.114941553882247, -126.10239059086265, -108.30567554536411, -131.51728137795757, -368.75599591515464, -411.1154908921369, -181.20178857295974]"
980,"[-116.60702990959956, -126.55190380019405, -376.3447831223301, -348.423049386097, -133.4560887434936, -112.60739803624966, -588.3937498036294, 11.598374150552019, -130.78860031410437, -489.7420735275211]"
990,"[-369.5186087601994, -507.51338750116355, -119.57926796979442, -602.1220961524032, -297.6732506603422, -688.1625694542735, -646.1952431043235, -126.09522104718732, -596.1482444398692, -241.30177960283626]"
1000,"[-164.96804258143203, -625.0737824491385, -147.75374203285915, -432.0683910618881, -121.74312166555364, -197.41094679877585, -94.64733475028714, -116.70613461797409, -677.8584709368424, -153.85329741141894]"
1010,"[-127.98620393958706, -38.372094608219065, -501.72254674293634, -41.309824564986705, -118.3300741738594, -336.73347023865534, -572.1936631002064, -122.67956135331512, -269.0311574795716, -131.63583388553795]"
1020,"[-137.8407010575839, -145.6786754287627, -606.6291696636727, -542.0259937778324, -139.88063292191237, -612.0347803849332, -463.02917556405606, -130.2475427768161, -554.0489390819944, -145.56476565845432]"
1030,"[-233.53926552830004, -547.5694635747165, -520.7529155967916, -557.6778813076286, -136.22543270538932, -649.975271022989, -141.53097040888554, -134.89185495163179, -107.27692629602569, -307.107796080863]"
1040,"[-549.2540637959542, -572.7051972100643, -173.8765993627607, -119.40728065055634, -88.51025075345348, -603.6829729525696, -154.0687296806347, -641.2685850962057, -126.16504862068493, -126.38964790860959]"
1050,"[-347.38670070255534, -500.1012262138355, -709.2687119971292, -383.3834816121011, -209.55086062682616, -345.28704037694513, -123.3864997179236, -84.14441686118606, -195.2891338823165, -143.54147684352358]"
1060,"[-158.6039398555572, -514.1316867675151, -260.89252862691296, -137.15798803684567, -211.92878164807908, 24.447686033415835, -576.6946658373633, -225.85132830135825, -208.96301563049673, -146.44968501999003]"
1070,"[-121.54584326861635, -329.48829187358376, -1003.0143150056613, -886.9819521680079, -170.93352722863378, -560.6391489935145, -98.70085755267563, -97.40259041753801, -149.8900663399229, -142.624805539488]"
1080,"[-531.6852728655203, -134.05958311035621, -462.9701313361219, -313.52608620079013, -358.13549293930873, -147.83343144808288, -191.0779542396207, -151.46043580444385, -145.92846166903047, -116.63691449038623]"
1090,"[-126.34376112504731, -253.41491824182532, -150.4830887790467, -394.6248167061244, -470.3349244026931, -203.23315724510084, -122.0720928180408, -409.717903375318, -194.06194763782742, -198.35421176244074]"
1100,"[-93.71462619263244, -230.9059658103317, -109.68831735066738, -373.1962527085648, -473.4427614176419, -462.1534196101017, -128.2407209786945, -118.101917697624, -24.428791413973045, -465.69856435622006]"
1110,"[-143.36775480250643, -125.5392778219881, -118.25020030487869, -129.73363989056318, -643.128366685178, -158.00251753475402, -451.4123192228302, -187.77329203507617, -75.6170352401285, -152.42097758029922]"
1120,"[-139.12136781705186, -162.67817490568984, -109.84649258103931, -185.52181147182387, -463.18838832909887, -111.22815022991547, -209.8649331204281, -99.60688712853195, -110.52932836923415, -617.9512874726777]"
1130,"[-88.72961299742721, -157.83183330310138, -474.9815058515055, -112.91297518443042, -256.1360635198573, -135.61161386582708, -646.2701200569124, -398.6706554696614, -112.68973387335403, -144.00280018438636]"
1140,"[-148.70931604237873, -167.99536178493474, -537.9371309764374, -262.7116203126652, 18.8934344014655, -179.0873321863089, -266.41972657916983, -410.67918304099885, -143.9506634941223, -156.19735626447573]"
1150,"[-54.76141145353107, -140.1672240139506, -55.14965344368231, -122.58721260744181, -182.00869205322982, -126.25450872967039, -142.33326602042328, -143.10956090645874, -500.10264832984575, -460.1978127184836]"
1160,"[-245.01078419968098, -111.77868207550178, -202.43494984995922, -561.349016914472, -475.7942759693527, -397.7117355955295, -505.7176465296611, -137.4294406778251, -155.2762666742455, -554.3774808292991]"
1170,"[-289.05226177879774, -190.52513731344393, -463.6970277874496, -472.77098281304154, -121.39492040128637, -116.68533628056873, -134.49859254111627, -130.11786390708062, -487.88279067097824, -395.1103307681351]"
1180,"[-88.92965016090282, -443.01743208495793, -617.7245243311652, -461.82651559275354, -116.63549494755203, -533.5503033048344, -133.08809634037127, -138.6273760581325, -153.58084509755236, -419.2264939172501]"
1190,"[-128.22606259717992, -243.54779758260375, -329.39444553574896, -127.53500535581013, -118.80576471832329, -102.71417643914094, -554.1632359865282, -536.5319601184663, -91.61355141287046, -600.132216518639]"
