Num episodes,Cumulative rewards
580,"[-1.0, 2.0, 18.0, 0.0, -1.0, -1.0, 3.0, 13.0, 8.0, 5.0]"
590,"[-2.0, 2.0, 3.0, -2.0, 38.0, -2.0, -2.0, -2.0, 11.0, 0.0]"
600,"[30.0, -2.0, -2.0, -1.0, 32.0, -1.0, 6.0, 28.0, -2.0, -1.0]"
610,"[15.0, -2.0, -1.0, 10.0, 22.0, -1.0, 3.0, -2.0, 2.0, 38.0]"
620,"[-2.0, 10.0, -2.0, 23.0, 13.0, 23.0, -2.0, -2.0, 13.0, -2.0]"
630,"[-2.0, 50.0, -2.0, 0.0, 25.0, 17.0, 0.0, -2.0, -2.0, 2.0]"
640,"[-3.0, -2.0, -2.0, 6.0, -2.0, -2.0, 0.0, -1.0, 17.0, -1.0]"
650,"[19.0, 27.0, 11.0, 17.0, 15.0, -2.0, 27.0, 24.0, -3.0, -1.0]"
660,"[-2.0, 11.0, 9.0, 0.0, 37.0, 0.0, 0.0, -2.0, 0.0, -2.0]"
670,"[16.0, 1.0, 16.0, -1.0, 11.0, 20.0, 27.0, 25.0, 0.0, 18.0]"
680,"[16.0, -2.0, 1.0, -2.0, -1.0, 30.0, 0.0, -3.0, 0.0, 11.0]"
690,"[-2.0, -3.0, -2.0, -2.0, 19.0, 6.0, 11.0, -1.0, 15.0, -2.0]"
700,"[12.0, 17.0, -1.0, -1.0, 0.0, 17.0, -1.0, -1.0, 5.0, -1.0]"
710,"[12.0, -1.0, 0.0, 11.0, -1.0, -2.0, 0.0, -3.0, -1.0, -1.0]"
720,"[8.0, 15.0, -1.0, -2.0, -3.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
730,"[11.0, -1.0, 6.0, -2.0, 16.0, 1.0, -1.0, 13.0, -1.0, 6.0]"
740,"[13.0, 12.0, 0.0, -2.0, -1.0, -2.0, 9.0, 0.0, 1.0, -1.0]"
750,"[-2.0, 11.0, -3.0, 17.0, 18.0, 0.0, 0.0, -1.0, -1.0, 0.0]"
760,"[8.0, 1.0, -2.0, -1.0, -1.0, 50.0, -1.0, 13.0, -1.0, -1.0]"
770,"[-3.0, 8.0, -1.0, -2.0, 4.0, -2.0, -1.0, -1.0, -1.0, 11.0]"
780,"[-2.0, -2.0, -2.0, -1.0, -3.0, 0.0, 9.0, 4.0, -1.0, -2.0]"
790,"[14.0, 0.0, 23.0, 8.0, -1.0, -2.0, 22.0, 0.0, 1.0, -2.0]"
800,"[12.0, 36.0, 18.0, 35.0, -2.0, 15.0, -1.0, 6.0, 3.0, -3.0]"
810,"[-3.0, 13.0, 15.0, 9.0, -1.0, -1.0, 22.0, 15.0, -2.0, 8.0]"
820,"[21.0, 32.0, 17.0, -2.0, 8.0, 8.0, 13.0, 12.0, 13.0, 0.0]"
830,"[30.0, -2.0, 50.0, 25.0, 10.0, -1.0, -3.0, 13.0, 2.0, -2.0]"
840,"[20.0, 1.0, 6.0, 21.0, -2.0, 8.0, 24.0, 12.0, 14.0, 38.0]"
850,"[16.0, 8.0, 50.0, 2.0, 8.0, -1.0, 0.0, -1.0, -1.0, -1.0]"
860,"[-1.0, -1.0, -2.0, 8.0, 16.0, 15.0, 0.0, 13.0, -1.0, -1.0]"
870,"[2.0, 9.0, -2.0, 24.0, 18.0, 14.0, 0.0, 50.0, -3.0, -1.0]"
880,"[3.0, 19.0, 37.0, -2.0, -1.0, 25.0, -1.0, 32.0, -2.0, -1.0]"
890,"[50.0, 21.0, 13.0, 2.0, -2.0, 17.0, 23.0, 0.0, 6.0, 10.0]"
900,"[13.0, 0.0, -2.0, 5.0, 25.0, -1.0, 31.0, -2.0, 35.0, 2.0]"
910,"[0.0, -2.0, 30.0, 50.0, 25.0, -2.0, 23.0, 17.0, 11.0, -2.0]"
920,"[-2.0, 17.0, 1.0, -2.0, -1.0, 22.0, 25.0, -2.0, -2.0, -3.0]"
