Num episodes,Cumulative rewards
340,"[-479.8269301541576, -1504.0033869442746, -274.3327740612048, -254.72741487658607, -566.361575906998, -565.3480129101437, -653.4847820750208, -214.11142755940767, -739.4610655477185, -457.32069029833866]"
350,"[-378.2273521452446, -477.42600789407805, -485.4915691199409, -409.33027116227015, -117.53423611780727, -593.9150531534409, -1201.2142701347907, -505.3508394310559, -298.164808654735, -328.6581266022248]"
360,"[-546.8957443868237, -187.3538154228085, -330.26926855152465, -501.078471200315, -150.76579968083126, -792.9567277820228, -671.9912682948894, -1717.1732780043415, -306.6166531294477, -517.9845185512007]"
370,"[-297.2032923615922, -510.8850117870671, -543.7716553995626, -556.2836857566763, -903.391272948888, -413.87591551796044, -819.154816582875, -144.7702128988877, -366.06935409095627, -263.6704438275698]"
380,"[-494.49998332497165, -448.02380376753365, -512.3950319452806, -635.6055839642752, -556.3266714164399, -596.1687624150243, -538.1082079063646, -1667.0695292484638, -335.8942862075643, -418.7249833363311]"
390,"[-934.1470512253962, -411.5667010123127, -479.76574576327255, -303.22797380216355, -373.8153155252098, -313.40915271482083, -431.9283401380982, -321.42245522548365, -457.9973911062259, -502.6626935519976]"
400,"[-311.5395303794795, -469.1313261717309, -140.5328423283781, -393.4808748452922, -412.58796986789775, -442.73229286335334, -549.8113369291104, -239.62048140039423, -633.4923360735154, -321.98510669279534]"
410,"[-398.4802956164641, -310.7691355576105, -318.8644778952838, -842.3076127319815, -564.0793564256953, -24.859681327236586, -195.94538660491406, -431.30705188616656, -1759.8922917721577, -359.91513073093506]"
420,"[-157.28289888905658, -343.9840948887047, -256.89922079076223, -415.7810547920242, -302.9071925089437, -365.76017549430907, -286.6346429496862, -299.0649921383253, -984.9173618378355, -696.1564736749328]"
430,"[-243.03320542049326, -488.2141519182057, -922.2234753050568, -189.31573611758674, -510.65102385572794, -18.281768808217585, -583.4857589452415, -174.57077585069635, -160.3173076489826, -355.43979150141587]"
440,"[-437.4529890868681, -642.306803928919, -492.30773121870845, -187.82269979838912, -336.83302961916445, -258.2318126990022, -477.43113796518514, -442.34242183532456, -1352.976045386743, -511.81491283884117]"
450,"[-138.51556676316133, -215.10671035051382, -114.53924207994328, -346.6280178578143, -362.62858721974493, -365.2807643662475, -1519.39186030573, -86.4659278987418, -1624.3524914084553, -738.9754699152747]"
460,"[-875.8802312063893, -365.01702535870606, -223.3229523189113, -695.6397666033347, -523.0856186006029, -637.1030107146516, -567.3536597314647, -440.92281305160515, -1687.1960148265616, -381.4703551685782]"
470,"[-251.5009652758572, -333.8462013597715, -307.04594089366776, -579.5702682356651, -134.231261217053, -308.7105652156744, -147.61615243540334, -784.8258769510729, -274.28609929879826, -293.54753603704773]"
480,"[-1616.0340340283599, -1928.7858542264048, -211.9957322984451, -612.0561158840592, -230.40378509282925, -630.5136333991246, -294.059219134599, -188.81527659462242, -635.1133939909864, -1616.5245747787242]"
490,"[-1604.8108741536375, -366.77928655426956, 11.041506411125965, -618.272942240535, -151.99523824035398, -1620.1881697263736, -264.5322419328141, -1550.598675230239, -372.5254489961701, -834.0223902192481]"
500,"[-466.15007988544255, -420.39337319385777, -642.0762329965248, -362.24506868926943, -650.0185089818679, -941.0719115812763, -424.8695244427886, -790.4237331383391, -563.6387689766776, -397.7500772676629]"
510,"[-433.7955289493707, -310.1692576936245, -339.32049491145244, -417.8355105027906, -417.4799224692729, -691.9578469131794, -299.19157050160834, -533.5377724144071, -1719.3811600749882, -107.79427305417403]"
520,"[-812.966973536739, -517.4428944273635, -393.26572654500177, -309.1720410319788, 4.407722557811994, -483.5714978702962, -240.25901122852216, -215.79282720019785, -507.65495673600327, -525.7559861302223]"
530,"[-137.88336740869576, -283.81547842634325, -921.5012355622084, -599.6855429552054, -456.1006494574948, -238.41485344758473, -324.7161978989379, -155.8947534285169, -446.1803634274044, -1016.277361463546]"
540,"[-472.5280567806834, -1440.0506404684522, -303.03459841908756, -647.5001079490143, -362.994267787843, -385.0251562902609, -464.1719204569484, -582.8208418784615, -524.7748833135157, -533.1041987622714]"
550,"[-447.82825527834075, -135.35389804513756, -484.78751289972314, -403.53794374037903, -228.3193036796534, -905.344340532503, -238.35052947985025, -171.19061722636692, -284.86567556037147, -271.92752945359905]"
560,"[-941.4963283716706, -954.5357435064377, -644.8390938170885, -400.2494986578109, -759.7696441739215, -255.77669495795556, -125.50252767354831, -471.8930650429627, -301.913359162448, -551.2509098954847]"
570,"[-353.0960783795994, -423.6046221282093, -420.2313695963727, -728.0389618930476, -232.45954962883394, -486.9019374756805, -403.38766384005686, -664.6140835096674, -364.5401359873473, -566.6413263522272]"
580,"[-139.66685051880484, -158.09421348813555, -452.6491419412164, -501.528420367879, -129.1785997708676, -670.5963695448586, -570.7551975736103, -287.19279752940713, -553.5759218443222, -711.4294965929956]"
590,"[-88.06173637855495, -557.9595324055724, -548.2820652653513, -330.8319429630994, -1866.7127022837994, -249.60157929323748, -1639.5345121701364, -387.4049023204329, -520.9782062637017, -155.10536280582375]"
600,"[-437.80827543354036, -452.6460738224646, -322.4191770955325, -394.0911896283313, -285.1800288924905, -417.94275346155354, -1569.641176063737, -524.4291739937728, -304.2788002125985, -1175.9521468653386]"
610,"[-163.58162960526855, -108.16576706315402, -263.7324578817293, -288.65280679375576, -530.4078476229598, -32.80341268848338, -318.81635456793754, -161.4370029689604, -364.2356790696142, -258.1682005152369]"
620,"[-333.8403519694623, -323.40479325246486, -315.3989702583784, -642.8826150901534, -487.8710449613792, -334.2131164354596, -464.1966494552637, -451.1943912130208, -285.8423708928318, -126.58481244522062]"
630,"[-356.0755623917439, -379.2219200511753, -175.35962522013207, -61.05712925744129, -211.14402652214392, -26.030462409535488, -38.52568857051746, -1028.3233285976125, -561.3610279181122, -202.02060927374345]"
640,"[-320.62017092917637, -147.43307392948572, -134.33613971590657, -350.74269087927956, -306.4036983913997, -300.27222758989615, -480.96611162416957, -264.46462336855495, -216.3646045757406, -375.6812585967098]"
650,"[-160.87904751118478, -673.441722010872, -440.2858129493282, -441.92553534047806, -252.52908548163546, -231.40713815748035, -535.9831436764484, -420.0392690619966, -161.90567390752835, -311.32958949586714]"
660,"[-255.70099609401407, -676.2909172213878, -231.1206602796774, -279.688655462499, -89.63848034353555, -334.8445332538342, -442.57627607123237, -559.7923176399565, -254.09839433249456, -114.27045303785366]"
670,"[-229.97593666108517, -400.63623085261776, -622.1867064532738, -624.8458381640553, -244.63246411246115, -215.110825255276, -521.8297598647648, -450.37702614570316, -863.6432730568033, -138.09343890094704]"
680,"[-365.013742538727, -332.1477006902483, -480.84152169255583, -535.5122323094505, -294.75369016749994, -133.80293880288536, -178.4867756585972, -145.8334624555171, -306.4871979811751, -104.10366562646391]"
690,"[-731.6325743598942, -272.0004232578975, -139.89152794776882, -140.5053657792955, -501.1443744183074, -265.7856013487629, -252.9262976639405, -464.5494198053003, -131.33676459837673, -239.30261976736298]"
